площадь,цена,этаж,кол-во_комнат
28,15387101,13,4
21,11869292,1,3
127,6699541,17,5
125,18619849,7,2
30,3986059,23,5
99,4539649,8,3
50,14306513,15,5
124,15711503,24,3
62,18293050,3,2
41,15841940,21,4
73,1126689,2,5
22,10923621,13,4
73,12931781,16,2
26,19103389,20,5
140,7901074,24,5
42,3131386,15,4
62,6774512,11,3
109,13603609,14,2
121,11658103,9,4
106,3649162,20,2
24,9651913,19,4
113,1944503,20,3
65,19727407,19,1
102,9181339,2,2
27,18270224,17,2
75,8495635,16,4
113,16722074,23,5
124,1773087,11,4
93,2115893,20,5
81,17579007,10,2
117,10995735,9,2
87,13551830,15,4
134,9177630,18,3
104,8485704,9,2
49,10359577,20,2
75,19304938,9,2
111,14696943,18,1
102,2749044,5,5
121,5296778,11,5
142,2996218,12,3
92,15155023,12,5
130,11077443,16,5
120,1252406,23,4
142,14389536,22,2
96,17329995,16,4
36,11691946,21,3
81,16997416,22,5
118,4738030,5,3
70,7149212,5,3
68,14923329,24,2
145,19353433,10,3
114,11594629,19,1
111,9499726,15,4
93,6041338,17,5
105,15054156,3,2
108,7201478,20,3
89,4838766,16,1
34,4883766,17,5
141,3865862,14,4
63,13658642,9,3
62,12810027,9,1
41,7670656,3,4
140,16526522,11,3
127,2510534,24,2
95,14708286,7,4
23,1759881,21,4
73,10005400,2,4
103,6366843,12,1
110,9224014,11,5
119,6402443,9,1
112,3261462,6,1
112,5950772,19,5
56,8288401,16,1
75,19517054,9,3
141,5643989,15,4
86,17924340,6,5
133,5295598,23,1
48,4999803,2,3
20,5311984,6,1
147,5979287,10,5
136,11524604,18,1
84,4639683,22,2
103,12490290,11,5
105,8306638,5,2
147,9488500,5,2
120,9956428,11,2
58,4187213,22,5
131,3054677,24,3
29,17449985,12,2
144,3222883,20,5
128,8940247,18,1
134,3312722,22,4
28,16973854,3,3
72,4640376,18,4
148,4973459,9,4
31,9735578,20,5
34,12947096,7,3
92,16785679,16,1
131,9959574,20,1
125,11901150,21,4
138,6221150,10,1
68,2135311,1,1
32,8831966,9,2
132,5891235,23,3
148,17797849,3,1
26,3657872,18,4
29,19929817,21,1
26,11688940,3,3
116,12495607,19,3
70,15750388,7,3
127,9920144,7,5
73,15161202,12,5
121,17867277,5,5
50,8237799,19,3
66,15730252,9,3
96,7690367,4,1
73,16365624,21,4
82,18112694,5,3
113,3463816,8,5
88,18562566,1,1
46,19010640,20,4
70,14853788,7,5
92,15618913,11,2
133,3729293,4,1
50,1390139,13,3
118,8814403,14,4
32,18816462,18,2
132,8432904,13,1
33,3496731,19,1
20,6517454,18,5
139,3916479,4,5
97,17938301,19,1
34,1648370,23,2
76,12938770,21,5
74,13835070,16,2
138,17339303,8,3
79,2275704,5,4
143,13439677,8,2
138,4578997,22,3
103,7687949,6,5
106,15981285,20,1
108,15639420,15,4
136,12607333,8,3
48,2743046,15,2
95,12776447,12,5
109,10473296,10,2
37,7719767,16,2
74,11587365,2,3
132,19445903,14,3
67,2081115,17,2
58,10891827,16,5
36,18825050,7,5
118,5400356,1,1
43,16574185,15,2
140,6443336,17,4
90,8208007,21,1
38,7236615,24,5
121,11747298,23,2
62,2686460,10,2
144,10629882,3,4
107,11958420,8,4
93,12300320,18,3
50,18196808,3,3
127,18368153,8,2
73,3959518,6,3
131,8889692,14,2
124,14695373,10,2
128,11940007,12,5
147,5810060,12,2
69,10755005,18,3
111,3168864,21,3
81,4556701,8,2
39,2294138,13,4
119,12506332,10,3
37,2292665,17,1
80,12814546,1,1
114,2003317,2,2
99,14058956,10,2
105,15352727,22,5
70,2553945,11,2
30,4124240,17,3
94,6176218,22,5
24,7876419,23,4
40,9725609,4,4
64,2085121,2,4
136,16212734,3,5
67,7843782,16,4
96,8634808,21,1
114,10851845,4,2
94,13048808,17,4
126,11680055,12,5
99,16726934,10,5
125,3360383,6,4
66,9964612,5,2
29,16563713,15,2
69,7803992,19,4
101,12852121,6,2
121,3443082,21,2
95,7486413,8,1
100,15734618,23,2
123,8034345,11,3
148,3662516,15,3
25,9825943,19,3
84,11067476,5,2
53,19103704,10,3
103,16089821,7,3
119,1852079,17,4
130,18753302,18,2
56,1845767,19,2
27,13169044,11,5
34,14478712,8,3
31,1827355,12,4
38,8630834,6,5
147,1130961,21,3
147,8809750,13,1
134,3533570,24,5
46,7262730,24,1
143,2081968,24,1
112,3312064,16,5
57,11634802,2,5
21,3672365,22,1
90,10623729,13,2
113,9160458,8,3
32,16743740,12,4
58,2751375,4,2
103,12995151,16,3
27,2041935,7,4
141,13625834,5,4
53,13060441,20,5
69,13675675,11,1
32,10089406,10,5
134,2250965,17,2
93,3537316,17,1
132,4919540,21,5
106,8640282,20,5
47,7772741,12,2
63,7481432,21,5
72,10223929,22,2
72,11779770,22,5
27,15154667,15,5
100,12723538,15,2
122,13650000,5,1
74,3120464,2,3
34,10465116,15,2
146,12715266,15,2
29,5945140,21,5
147,6525120,3,2
54,10461855,21,3
65,4123532,18,4
52,15087717,13,4
35,10798556,9,2
31,15334438,5,4
130,1387994,8,1
28,14567188,19,4
84,12841854,20,3
118,14744020,22,5
129,9536462,23,5
37,8722405,22,1
81,14892993,19,2
60,3989012,17,5
135,14143335,24,2
130,7412297,4,2
84,5776918,17,3
106,3413336,20,3
58,9916562,6,2
91,6963534,14,2
128,4156672,5,3
70,17920808,6,4
68,12654364,11,1
68,12466313,9,4
54,1214236,16,1
69,8844024,19,5
38,5903914,7,2
109,12167639,20,1
37,14559266,19,3
30,19360154,6,1
37,11186894,5,3
34,14315477,19,4
111,4054756,18,1
38,9381890,16,4
83,4800092,16,1
119,3852839,24,1
141,5481049,14,5
75,9585404,4,1
149,9814249,20,5
131,4462484,21,4
60,5317909,21,3
44,1024476,21,3
91,6185801,2,1
144,2789202,5,1
81,2625280,23,1
39,3563671,12,3
135,4236650,2,1
142,10512130,23,3
27,17573631,15,1
121,16004885,5,3
100,9869619,4,3
124,18761278,10,5
139,2590571,13,4
34,2602693,3,1
79,1168682,3,3
61,1464839,1,3
149,4480308,14,5
91,1353809,18,2
36,4710290,22,4
146,4743391,13,1
40,9228969,16,5
92,7549384,3,4
94,3734456,22,5
106,19198014,23,3
39,4596805,17,5
88,18693167,5,3
84,17498860,3,3
121,2655221,21,4
72,19080725,11,1
21,4455841,2,4
130,16736508,22,4
105,13577444,20,2
78,5812236,8,4
72,2268286,6,4
59,4572176,17,1
69,10087759,1,5
75,15935926,8,1
132,19374143,24,1
87,19204124,22,1
130,1401795,23,1
78,14131262,9,4
36,6317697,13,2
104,6771820,12,1
104,16340868,2,3
81,14442462,24,4
28,17808725,18,4
30,15447422,21,1
91,10160182,22,2
149,6321710,10,4
42,6564245,1,1
95,13311360,18,1
29,18109566,12,2
29,5732241,20,3
121,16204268,12,5
88,1759124,4,3
109,14513000,1,3
59,1537367,23,4
66,8870508,23,5
73,10145268,22,2
122,6300777,4,2
71,18806767,1,2
34,1076809,18,3
44,2720500,13,2
59,14606928,7,1
129,3963060,5,1
47,13326746,7,4
111,8883232,10,1
33,16714111,2,1
131,9769317,1,3
43,11127063,4,4
137,16224000,23,5
83,2888760,6,3
126,16866716,20,2
107,8286239,1,5
32,2556070,2,4
58,2162128,24,2
144,18109726,2,3
63,4978221,3,1
145,4379408,19,1
74,4774839,17,4
82,14304361,1,2
59,16328180,21,4
70,9476013,22,2
149,9552763,20,3
36,11064319,15,3
142,11958929,7,5
110,5726189,14,1
101,17064315,9,5
29,19922169,24,5
28,7450507,16,4
79,13936995,14,4
71,2959948,12,3
46,14258487,10,2
46,4049689,11,2
149,13968540,2,2
145,14126549,18,2
29,7093564,4,2
140,2017923,2,3
113,18647884,15,2
126,6523811,4,4
81,18987983,14,1
31,2482214,5,1
26,17047938,22,4
84,14404783,17,2
128,6284442,24,3
56,14804416,24,2
53,17685991,3,1
58,19689158,16,1
118,17572538,23,5
111,1974741,19,1
112,11848490,14,4
86,18368708,9,4
56,9813021,5,2
130,14913969,23,2
106,12530768,13,4
102,18718769,23,3
41,15519034,23,4
147,13462738,6,1
51,17092797,24,5
28,4300490,6,1
34,10465835,12,2
51,10513392,18,2
41,3254364,10,1
129,18762342,14,4
132,13219793,12,5
51,14044886,22,5
58,6433714,10,3
99,4547777,7,2
136,14258756,24,1
72,4938789,13,5
45,6541619,13,3
116,6427911,5,4
49,13710775,13,1
32,3260132,2,4
47,3509827,22,2
74,15261628,2,5
119,9228852,11,2
43,4226940,3,1
131,13190802,4,4
69,14884539,21,3
149,3521352,14,3
147,3614703,2,2
97,8512135,17,2
59,15525075,9,4
23,9635387,4,5
44,18548881,15,2
138,1343372,13,5
30,19102833,24,1
45,8063960,23,3
111,16528775,7,1
142,10454654,20,4
143,7669061,15,1
69,15011626,12,3
102,9515286,24,5
83,7963348,8,3
41,15959205,9,5
28,12961019,6,2
75,3702905,21,3
127,11878961,19,2
130,2986237,1,1
106,5132038,18,5
133,15096752,21,1
126,11096614,22,1
32,9609951,21,4
82,8669525,1,3
101,6431880,18,3
147,15841902,12,2
134,12872834,19,3
102,19047612,6,1
137,2866906,19,1
94,14686371,20,3
134,6450820,19,1
143,1555652,7,5
113,15244323,11,4
120,2821086,4,1
43,9797106,23,2
29,6941109,21,5
41,4308499,22,3
138,12490343,9,5
123,14720423,3,5
106,6040522,18,4
115,6426067,5,4
76,2042156,22,3
43,14448132,4,4
97,1054170,7,2
54,9257536,1,5
83,8327552,22,1
121,6049887,21,4
139,14789775,13,4
27,18331249,8,5
55,11661398,11,2
123,19245079,23,1
54,2993071,8,3
115,4220441,9,3
105,17541592,1,5
75,16374192,12,4
102,16662092,1,2
39,2934149,7,4
62,4958150,1,2
73,13211492,19,3
103,7558690,15,3
145,13779695,6,5
121,11184230,22,4
25,2386045,3,3
89,9343382,17,5
117,12062519,9,1
70,3912345,5,1
85,15155804,9,3
120,3025258,18,5
146,4513843,5,5
53,3102204,15,3
43,19482653,7,1
114,15996686,21,3
38,7662328,8,4
38,19366877,20,2
56,9221535,20,4
100,12150600,22,1
77,14235120,6,3
87,8110301,5,5
98,5955482,2,2
48,2511428,9,5
86,1446771,18,4
121,17541199,1,4
84,2128244,6,4
145,7318080,10,4
105,7430241,1,3
42,6356099,18,4
36,14407775,11,3
107,13188484,1,2
82,4029750,21,4
122,19108429,18,1
110,9331429,11,3
108,17103858,15,5
26,10766388,2,2
61,8355156,24,1
137,8164950,15,2
33,13706057,6,4
67,1389743,12,3
113,18268821,6,5
99,17146309,9,2
96,16439865,9,1
91,10877195,10,2
39,12511821,12,2
37,4928032,19,2
77,8672549,8,3
40,14806207,22,1
87,16154536,15,3
89,2229162,22,5
24,12199183,20,4
84,2884482,14,1
53,9180048,14,4
109,2870459,9,1
40,10044869,14,3
84,8993510,12,5
20,8505303,20,2
59,15142755,9,1
43,13094440,9,5
139,13855239,23,5
143,13236230,20,3
129,5791464,12,3
61,14749751,1,5
95,13044919,23,1
75,11773422,22,1
128,1112082,20,4
99,11202674,7,4
32,10677483,18,5
71,15078452,8,3
147,18331855,16,2
130,7097219,8,1
64,5727960,24,5
131,14482892,3,5
105,19123176,12,1
36,6042029,22,1
77,4716911,1,1
84,7199616,11,3
121,6471469,20,4
79,17304893,18,3
129,9808707,1,2
148,3605353,4,3
75,1048719,15,1
39,10973605,6,1
149,12413646,24,4
144,11618941,1,2
86,10607565,7,1
117,8774990,13,3
117,11834701,17,2
114,10673307,23,2
79,12199689,24,4
107,10688875,8,2
118,9259919,21,1
117,15729775,8,1
141,8297172,6,2
28,5837872,13,1
132,9900751,14,2
93,3464639,24,5
51,11518455,19,1
117,1554514,8,3
33,12703771,17,1
55,4371078,22,5
76,12221676,19,5
98,9475639,16,2
65,18094046,10,3
83,8976072,16,3
22,18223516,15,5
65,12521876,18,2
38,6281910,8,2
34,19786830,18,2
96,18962334,23,5
27,12076959,2,1
21,18937317,18,4
138,19614973,22,3
143,8085718,3,1
144,11145470,1,1
76,4695765,11,1
61,2410507,1,2
46,3359529,6,3
84,3519307,18,3
58,8310041,4,4
54,13073651,22,5
33,10068235,22,4
128,12471432,21,1
108,10384109,13,2
50,1071820,23,4
89,19786639,24,5
95,4744569,8,5
132,6046459,12,4
87,12483254,7,3
111,7777991,6,3
99,19509440,20,5
38,1645466,24,4
62,9420494,19,3
118,1195301,22,3
119,12778948,22,3
34,14297849,21,5
121,19622579,8,1
30,2674887,13,1
91,11104130,16,4
52,5335612,6,1
67,4047174,22,4
140,15045070,16,1
67,14209131,2,2
48,4758575,17,4
88,15062489,12,1
42,16780743,9,4
112,15575023,3,3
48,18359746,19,5
52,3649783,21,5
114,17633779,22,5
82,15793117,11,4
120,15931544,1,2
145,17272692,21,5
34,4569179,9,3
39,17535806,11,1
118,8289051,24,4
115,12618662,17,1
33,11203439,12,5
107,16654337,18,3
75,12340655,15,5
26,19659277,2,2
75,11169014,17,1
28,19131115,21,2
50,18090728,2,2
117,19231057,9,2
126,6057873,24,4
59,8685507,24,4
68,16945300,7,4
53,7700706,21,3
137,17595696,24,4
107,6025597,1,3
87,8070834,22,2
34,11314901,23,1
81,3003379,7,4
134,11806730,7,4
79,3486856,24,3
125,10752362,21,5
44,1224254,11,3
64,8132735,1,4
90,10745474,19,2
26,17130134,9,4
44,12195487,8,2
147,4626370,5,5
102,15382217,11,5
58,8795643,21,2
20,3215259,1,1
140,6160417,16,2
72,12857445,5,3
111,1789083,9,1
65,17883797,11,5
112,2116701,21,3
131,15824266,22,4
105,8844756,18,4
61,16110349,2,5
22,11581620,8,5
51,2661452,17,3
55,7321298,12,1
144,18930581,8,1
108,8604923,23,5
20,2305229,3,4
60,4316584,2,2
72,1572814,18,3
116,9242669,15,4
40,16308833,22,4
100,11170208,18,5
81,15142406,23,3
59,7661702,20,5
45,14988840,10,1
113,13729051,10,4
122,5331701,2,2
115,4447111,18,1
98,12987924,8,4
39,1431770,14,5
47,8177271,22,4
25,19882163,24,4
34,7805950,4,3
66,8620532,15,3
115,9240896,18,1
93,14044370,21,4
97,11209831,21,5
26,18184357,8,3
109,15915547,11,5
69,14601938,22,1
106,7308885,15,3
115,19807964,20,5
58,17507133,1,4
133,19772235,3,5
26,18645444,10,2
81,1427408,17,4
102,13200618,21,1
145,13249205,19,1
101,18089407,13,3
146,15051872,12,4
140,1221330,11,2
98,11587829,13,1
57,1135030,4,1
140,18940226,1,4
21,9122474,10,3
91,3804629,10,1
31,6154680,4,5
26,9346955,17,2
145,19627333,23,4
79,8125561,7,5
85,6489134,10,3
106,8464380,11,4
61,13737127,13,2
115,11382484,14,5
86,1504930,8,4
142,1543336,16,5
99,7955855,2,3
121,4388588,4,4
49,11668952,7,5
52,18190389,23,3
50,4086328,15,4
55,18957381,2,5
109,6669691,9,4
104,15737066,3,1
47,8597222,11,5
27,16927988,8,5
66,2410496,22,2
120,7771860,6,2
50,16946725,4,3
109,8177981,15,1
88,2528151,20,4
115,12698687,4,2
140,16432190,18,5
71,1877587,15,2
48,13763106,10,4
92,9888812,10,5
89,10529543,21,1
49,12019415,5,4
27,2935814,7,5
46,19330106,6,3
27,14563561,24,1
111,12989382,18,2
22,16206203,9,1
99,2787330,12,1
142,4395793,24,4
121,16495347,10,3
88,5816891,1,2
20,1350187,16,4
39,4572809,3,5
37,3152415,7,1
108,8086201,24,3
62,10998538,21,2
66,10352243,6,4
79,4159858,8,4
100,14875440,11,4
78,12369112,19,3
30,19710826,21,5
102,17815527,5,4
79,9883576,10,3
137,13583092,1,5
141,6202470,23,4
76,4590647,3,5
149,18993104,22,2
141,11274378,1,5
108,11524442,18,3
114,6324769,12,1
32,6465552,6,5
26,3914683,7,1
24,6788397,1,2
101,7121258,11,4
26,19345668,8,3
70,5892741,1,5
148,18338131,6,3
69,2493407,19,3
107,14373812,3,3
63,7858315,18,1
90,11144452,15,5
91,17271963,16,3
125,3301360,8,1
113,1521813,13,1
49,7554212,20,1
58,6844311,8,5
137,10102193,14,3
124,10956347,22,2
79,3228501,6,1
44,18265303,19,2
90,14973509,24,1
107,16500990,20,5
71,11164737,16,3
29,14720187,2,3
112,6023840,14,3
119,13735461,21,1
80,6114959,17,2
48,14996211,2,3
24,13114584,10,4
92,5240455,10,3
35,17267432,6,3
125,3434439,1,5
144,17497487,10,4
67,17927201,23,4
65,1518341,17,1
81,14501288,3,1
126,19766792,17,2
58,14719358,16,5
34,16142071,5,1
44,15438807,23,5
140,12224870,8,2
65,8156700,8,5
110,19175737,11,3
115,6115479,12,2
97,1388814,10,3
69,19149205,20,1
38,18874085,16,1
33,9940227,2,4
101,14117146,2,2
129,18044684,12,3
30,1489877,12,3
137,14503401,17,5
104,5030766,22,1
93,1882493,22,3
107,13154915,10,5
122,7221520,19,5
52,18895571,24,2
93,10103506,23,5
67,17180649,20,3
135,4211562,12,4
50,10954082,20,1
146,9991294,11,2
34,7329719,7,3
91,14755629,20,2
30,7115177,9,3
114,5887918,6,2
117,14410741,4,4
22,14180442,21,2
128,9614210,13,3
145,5069592,3,2
92,17949925,17,4
38,5554221,16,2
119,15565441,3,3
49,8918346,1,3
129,9894531,18,4
75,9260383,15,3
37,8530266,15,4
67,6571308,8,4
87,14522942,17,2
86,4515205,18,4
82,2157815,16,3
116,9125994,16,2
148,1701058,1,2
131,15240188,4,3
37,8431374,12,2
24,5019917,24,5
91,10971291,23,2
119,13231348,4,4
61,11259585,21,1
100,17478642,22,5
148,18396601,24,5
40,14952559,14,5
122,17956325,3,5
105,3680701,19,5
21,19706576,7,4
135,9276611,10,5
77,10941319,12,5
32,10750631,12,3
38,19147801,18,1
127,1849510,4,1
50,5035725,14,4
103,13967938,18,5
62,11867067,9,1
53,1469216,11,1
91,8251287,3,1
51,18643240,7,3
35,4922568,19,2
107,3953999,9,5
145,1636446,7,2
123,6055395,2,1
77,10433453,23,1
113,3175432,8,5
144,8833290,23,4
68,15377555,6,3
99,1186708,7,5
72,4673013,9,5
77,19711759,22,1
47,7272234,23,1
84,3778285,22,4
126,3421284,12,2
62,15479451,13,5
47,14844583,24,5
44,6036078,24,4
112,9779598,18,2
82,12759777,22,1
69,9092278,10,3
108,10417620,11,5
110,16016621,20,2
119,18948365,6,4
120,5556666,6,3
136,15266641,5,4
49,16115590,20,4
135,14694326,6,4
143,10439692,6,5
113,12222925,21,1
102,13654265,15,4
62,11031476,12,5
116,14339590,22,1
88,19701392,24,5
83,10161323,13,4
23,17023291,20,3
61,12226710,1,2
136,2561259,8,3
101,16346229,5,3
39,1253734,7,1
72,4040459,11,2
133,11612376,17,1
66,6963688,10,1
34,8616415,11,5
22,14778493,17,5
97,3245639,9,4
85,10754817,17,3
141,12152176,16,4
146,3268477,4,1
137,9439559,4,1
40,8160283,9,1
85,15290451,17,3
145,10802440,24,5
76,9209251,1,2
85,11205788,1,5
143,12250231,20,5
109,8928756,11,4
53,16916112,17,3
100,11969365,9,3
82,2137521,16,4
135,1184684,10,2
83,2518626,24,2
137,9127117,22,4
85,14129970,16,2
34,9452159,1,3
110,11074576,5,1
143,3697981,2,5
71,15606169,5,1
120,11289153,14,1
54,15716046,7,5
144,16641169,18,5
99,11500342,2,3
79,6487347,13,3
61,7861346,19,1
66,11758106,19,5
70,17531501,16,2
45,18110732,8,5
100,10823675,21,4
121,12888572,22,1
72,9456833,18,1
127,9201952,15,3
90,4936341,5,4
105,11666030,9,1
135,14932432,3,2
84,14305922,20,5
61,11315878,15,1
86,4072827,1,1
145,4096560,15,3
142,12808691,2,4
114,16733388,2,2
87,16310099,20,1
31,12016142,13,1
89,18510124,5,1
70,11150745,22,5
23,15748660,4,2
112,14653953,12,2
88,8067807,17,4
119,19925201,21,3
121,4992720,15,5
75,3115344,4,5
91,10719073,7,1
49,5953505,11,2
89,1014119,13,3
53,3874637,2,5
62,19603826,13,2
108,3576864,20,5
65,19557771,21,1
37,5395105,9,1
35,2832421,20,1
93,19035656,7,5
133,11156864,5,5
56,8712651,3,5
131,18704390,10,2
57,7317835,12,2
104,16551092,21,1
51,12787312,8,1
51,12426066,23,4
123,7034742,15,5
64,9648627,22,4
57,3312116,20,3
123,11278646,13,5
46,10321400,22,2
102,6723231,21,1
108,13132527,1,2
51,1003430,13,5
91,8161207,3,3
96,4717658,1,5
87,4372314,12,4
35,10881868,17,3
91,9122844,6,2
53,3878790,21,5
127,5441964,21,2
28,8675741,12,2
21,15060738,13,5
61,7014921,7,4
35,2202457,20,3
115,17770390,14,1
51,8382286,8,1
27,7861831,15,3
81,1219518,4,1
91,8949288,12,2
133,11600806,3,1
55,18810043,12,4
52,1159985,13,1
74,5624077,19,2
101,3652252,14,4
36,10616525,9,3
47,2546460,17,2
139,6640566,16,2
32,19070238,22,5
116,19821255,5,3
59,5874934,5,4
61,4875107,6,1
26,14564781,15,1
102,13588673,15,2
57,9186657,2,1
125,8748243,22,4
112,2552123,11,4
141,19009190,9,5
140,11290962,7,4
43,8509991,9,2
107,4580716,14,2
135,10114161,24,4
46,7366489,14,2
130,6394585,18,4
92,11859467,23,2
71,16794411,17,3
84,12565087,22,3
73,13084825,20,4
77,17200472,16,2
32,18173257,17,3
114,14688615,24,4
61,5708019,7,1
40,16489464,23,4
132,3393414,2,3
110,4231082,19,2
75,17437107,22,3
65,18583184,8,3
122,16493462,21,2
25,1774652,13,4
119,5510801,16,5
44,15525082,21,3
147,19523098,5,5
51,11952417,22,1
55,2264203,8,3
120,16995773,24,2
70,5893076,8,1
28,7515420,9,4
149,17791785,5,1
140,12081936,4,2
22,7185394,24,2
62,10724660,19,5
72,8014131,12,5
117,11365925,13,4
117,10248831,9,4
126,10023380,21,5
32,13656166,7,2
141,11507948,10,5
115,9345029,20,2
21,19492770,12,5
45,7958117,5,1
120,7466826,3,2
42,6224171,6,4
127,19652701,19,4
140,13419476,1,5
108,11415722,4,2
46,6353646,5,3
20,16628685,9,3
59,1252021,6,4
50,1062216,9,2
123,11494326,7,4
122,2609101,23,3
35,11286099,11,5
86,17480663,22,3
40,17529311,18,5
138,4664034,4,5
129,13531570,13,4
114,10381835,1,5
45,16632144,21,4
30,8763308,7,2
29,3622114,5,5
103,8598679,20,3
116,2395122,20,4
30,13509440,17,4
42,5898550,18,4
69,3297209,6,1
102,12024863,13,5
121,17176514,8,2
121,14036417,16,5
79,19656558,20,1
143,19752687,12,4
50,5430710,7,4
37,17234693,16,2
34,18678115,12,4
37,5983165,16,5
132,5243774,9,3
22,16370990,12,1
132,1281135,21,4
103,16373183,14,2
97,16089960,15,4
140,13756661,6,4
58,17867294,14,5
50,6127829,18,3
98,15715650,17,4
39,13498562,6,2
30,18665005,1,5
143,19765849,16,3
58,16996300,4,2
84,16621955,14,1
149,4344635,8,1
117,16145011,23,3
23,12934314,4,5
90,16234322,8,4
82,7927906,14,1
141,11858977,15,5
89,4570038,6,2
36,3128815,2,1
93,14120799,19,1
72,14424490,24,3
108,16396530,13,4
75,6178823,1,4
107,8593314,12,4
30,5873856,3,1
148,8564821,2,4
86,1629920,8,2
120,8238445,20,2
35,17249781,8,2
133,5553075,7,1
67,12928075,21,3
81,5026377,17,5
53,5488740,13,5
101,6956833,21,1
135,11856620,10,1
27,5399157,8,2
23,12840442,17,3
48,9766231,5,4
52,12709420,5,1
74,18270967,21,3
130,1378001,16,1
89,13585877,3,4
39,14892932,18,2
95,13932969,15,4
126,10714117,9,4
142,15183515,24,2
34,13479174,2,5
26,2204801,19,4
129,17947370,10,4
141,12351923,7,3
32,7736170,14,5
149,12763548,22,3
34,15207943,17,4
63,2907029,13,3
136,15758681,6,4
117,6768611,19,3
100,7622833,8,2
78,14878372,8,1
64,9791827,6,1
81,17215793,4,4
28,12753065,8,1
148,19057009,13,3
124,1881637,14,3
108,13787612,13,1
52,4554465,6,2
74,2558903,6,1
82,12144792,10,2
24,8022616,11,3
110,19672586,21,3
90,19467976,3,3
98,5759350,21,1
64,15264802,24,2
25,19850703,22,2
114,6307259,4,3
122,4578517,24,1
88,1164167,17,2
78,10880753,4,3
68,8029992,7,5
62,11295980,17,5
41,5549249,24,1
102,9207812,7,3
121,8493773,9,2
93,1104100,13,5
53,8258826,15,4
90,12939029,18,1
92,15593313,4,5
27,8602258,14,5
39,14574223,2,2
36,13964635,7,4
